senfi_number,shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
,4,http://emalls.ir//files/shoplogo/4lp61zcbtqj22h5ehn2ev0xf4hf2uro1qddv5qq5okg2gatjh0[medium].png,می می دو,https://emalls.ir//Shop/6106/,6106,اینترنتی,,در حال همکاری با ایمالز,اسماعیل نورمحمدی,۰۲۱۴۴۶۳۳۷۶۲,میدان آزادی، شهرک شهید فکوری، بلوک 8، طبقه 10، واحد 7,webmastersalam [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:33.703102+00:00,تهران - تهران,4 سال و 1 ماه و 5 روز,https://mimido.shop/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/pegqzuwgqejzv2tqdyy88ejeeoe34dages7k330kjl7omkqew3[medium].png,صنایع روشنایی کهکشان,https://emalls.ir//Shop/30410/,30410,اینترنتی,,در حال همکاری با ایمالز,احمد رضازاده,۰۵۸۶۶۳۳۹۵۴,بنیاد جانبازان ، خیابان امام رضا 2[شهدای سوسنگرد ]، کوچه (12 متری سوم )، پلاک: 0.0، طبقه: همکف,Kahkeshan [dot] digitalmarketing [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:34.284955+00:00,مازندران - ساری,2 سال و 1 ماه و 16 روز,https://kahkeshanlighting.ir/,دارد (صفر ستاره),
,3,http://emalls.ir//files/shoplogo/iqqdhx5i16v27tsbmfnylq3aemcbqhqvf60nkqkir1nve2dwtv[medium].png,ظروف گرانیت ژیوار,https://emalls.ir//Shop/24161/,24161,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~24161,در حال همکاری با ایمالز,فروشگاه ژیوار,۰۲۶۳۲۷۱۸۹۶۳,کارمندان جنوبی_کوچه بلال 1_پلاک 13,info [at] jivaar [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989226779283,https://instagram.com/jivar_com",سه شنبه ۲ بهمن,2025-01-21 16:36:34.854520+00:00,البرز - کرج,3 سال و 4 روز,https://jivaar.com/,دارد (یک ستاره) معتبر تا 8 ماه و 12 روز,
467814021,2,http://emalls.ir//files/shoplogo/4zacsrid0uc06qzvtec1zbee4incqmma3z5v42kkm2loriofcc[medium].png,گالری فرمانیان,https://emalls.ir//Shop/44278/,44278,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44278,در حال همکاری با ایمالز, الهه فرمانیان,۰۲۱۲۲۷۲۱۴۶۶, محله تجریش ، خیابان شهرداری ، کوچه بعثت ، پلاک 22 ، پاساژ قائم ، طبقه سوم ، واحد 191,info [at] farmaniangallery [dot] com,بدون امتیاز,https://instagram.com/farmanian_goldgallery,سه شنبه ۲ بهمن,2025-01-21 16:36:35.342316+00:00,تهران - تهران,8 ماه و 13 روز,https://farmaniangallery.com/,دارد (یک ستاره) معتبر تا 3 ماه و 17 روز,
,2,http://emalls.ir//files/shoplogo/uasz407mgor378z0zb84cqdvdr4o7fpn1thtj4lrc3mt1uzctq[medium].png,جاست کالا,https://emalls.ir//Shop/21934/,21934,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~21934,در حال همکاری با ایمالز,علیرضا عباسی,۰۷۷۳۳۴۴۸۳۰۷,محله: دواس، کوچه اعتماد 12، کوچه شهدای 7[شهید سید علی هاشمی]، پلاک: 11.0، طبقه: همکف,justkalastore [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:35.575328+00:00,بوشهر - بندر بوشهر,3 سال و 3 ماه و 23 روز,https://justkala.ir/,دارد (یک ستاره) معتبر تا 7 ماه و 18 روز,
467196007,3,http://emalls.ir//files/shoplogo/u7vfjfjrv7m0nfcdbnp2qaffpx2d351ukch1fucbrjpekz3t8h[medium].jpg,گروه هنری ناچو,https://emalls.ir//Shop/24163/,24163,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~24163,در حال همکاری با ایمالز,پویا حقی,۰۹۳۰۲۲۲۰۷۴۷,تهران - بیستم ولنجک - گلستان سوم - بوستان دوم - پلاک 2 - واحد 2,p [dot] haghi1990 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:35.679003+00:00,تهران - تهران,3 سال و 4 روز,https://nachoartgroup.com/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/baj327dsxur1b6eenbeufxfjqcg1im0snetd56u0oi5aex6ujv[medium].png,تیک باکس,https://emalls.ir//Shop/27541/,27541,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27541,در حال همکاری با ایمالز,حسین عابدی ,۰۲۱۷۷۹۴۶۳۲۱,محله نارمک ، خیابان شهید رشید حاج آغمیونی ، خیابان شهید بهمن کلامی ، پلاک 115 ، طبقه چهارم ، واحد غربی,info [at] tik-box [dot] ir,بدون امتیاز,"https://web.whatsapp.com/send?phone=989356822334,https://instagram.com/tik_box.ir",سه شنبه ۲ بهمن,2025-01-21 16:36:35.790762+00:00,تهران - تهران,2 سال و 6 ماه و 5 روز,https://tik-box.ir/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/d0dn6ip1zrfwur2dyocjve277h6utno7cw0om8r6g3p4ei43r4[medium].png,ژستینو,https://emalls.ir//Shop/45523/,45523,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~45523,در حال همکاری با ایمالز,مریم دهقانی زاده,۰۳۵۳۶۳۳۳۰۳۸,کوی اباذر، کوچه 18 سلمان جنوبی[چهارده معصوم]، کوچه شهید محمد هادی زینی، پلاک: 21.0، طبقه: همکف،,info [at] jestino [dot] ir,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:35.933685+00:00,یزد - یزد,7 ماه و 23 روز,https://www.jestino.ir/,دارد (یک ستاره) معتبر تا 1 سال و 3 روز,
467864298,2,http://emalls.ir//files/shoplogo/4p4pz6w5p5y2yjd10o3o0gq1b6x6x4wssn0kkdm8loul8jvh5k[medium].png,زردخت,https://emalls.ir//Shop/26289/,26289,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~26289,در حال همکاری با ایمالز,علی جعفرپیشه ,۰۲۱۷۷۰۱۱۵۴۷,جوادیه تهرانپارس - بلوار شهید برادران بابائیان - خیابان 15 متری نوین - پلاک 18,zardokht [dot] shop [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.089777+00:00,تهران - تهران,2 سال و 8 ماه و 7 روز,https://zardokhtgroup.com/,دارد (یک ستاره),
,3,http://emalls.ir//files/shoplogo/t0v0pu8xnoqkvt0csppuagx0nk0jivrbyvvegbads3sadjlx6u[medium].png,آنشرلی,https://emalls.ir//Shop/25557/,25557,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~25557,در حال همکاری با ایمالز,مهدی حاجوی,۰۴۱۵۲۶۲۷۹۷۴,مرکز، خیابان امام خمینی، کوچه گلستان 1، پلاک: 2.0، طبقه: همکف،,info[at]anneshop [dot] ir,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.211537+00:00,آذربایجان شرقی - هشترود,2 سال و 9 ماه و 18 روز,https://anneshop.ir/,دارد (یک ستاره),
